URL,Book,Text,hdr1,hdr2,tildeinfo,note,lines,metadata,data,region,stoich,sinistr,subregion,date,other_info_0,other_info_1,other_info_2,clean_text_conservative,clean_text_interpretive
/text/167851?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,8(2),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 8(2),NA,NA,2,"1
","[θεᾷ Σ]υ̣ρίᾳ Παπας καὶ Ἀπ[ολλ— — —]
[— — —] ὑπὲρ τῶν ἰδίων [— — — — —]",Bizone (Kavarna),NA,NA,NA,NA,NA,NA,NA,υρίᾳ Παπας καὶ Ἀπ ὑπὲρ τῶν ἰδίων,θεᾷ Συρίᾳ Παπας καὶ Ἀπολλ ὑπὲρ τῶν ἰδίων
/text/167852?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,8(3),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 8(3),NA,NA,4,"1


","[— — — — — —] Κ̣έ̣ρ̣δων vac.
[— — — —]Ι̣Ι v εὐχαρι%⁸¹-
[— — — — —]δουλον ΤΩ vac.
[— — — — —]ΠΤΟΝ vac.",Bizone (Kavarna),NA,NA,NA,NA,NA,NA,NA, Κέρδων ΙΙ v εὐχαρι δουλον ΤΩ ΠΤΟΝ, Κέρδων ΙΙ v εὐχαρι δουλον ΤΩ ΠΤΟΝ
/text/167853?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,9,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 9,NA,NA,1,1,ἀγαθῇ #⁵⁶ τύχῃ.,Bizone (Kavarna),NA,NA,NA,NA,NA,NA,NA,ἀγαθῇ τύχῃ,ἀγαθῇ τύχῃ
/text/167854?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,9(2),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 9(2),NA,NA,1,below relief.1,[— — — — — ε]ὐ̣χῆς χάριν.,Bizone (Kavarna),NA,NA,NA,NA,NA,NA,NA,ὐχῆς χάριν, εὐχῆς χάριν
/text/167855?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,10,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 10,NA,NA,12,"
1



5




10
","[— — — —]
[— —]ε̣ω[—] {²⁷[— —]σ̣ω[— —]}²⁷
[— Σ]ε̣υηρο-
[—]σμαριθ-
[—]ης Δημητρ[ίου]
[—]ος ․․․․․-
[—]ιος Εὐτ̣ύχο[υ]
[—]π̣ης Ὑψι․1-2․ιλ̣[— —]
[—] Δίων Διοδώ̣[ρου]
[—]λλου μνιλ̣[— — —]
[—]․․․νο[— — — — —]
[— — — — — — — — —]",Bizone (Kavarna),NA,NA,cf. IGBulg V 5001,NA,NA,NA,NA, εω ευηροσμαριθης Δημητρ ος ιος Εὐτύχο πης Ὑψι ιλ Δίων Διοδώ λλου μνιλ νο, εω σω Σευηροσμαριθης Δημητρίου ος ιος Εὐτύχου πης Ὑψι ιλ Δίων Διοδώρου λλου μνιλ νο
/text/167856?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,10(2),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 10(2),NA,NA,5,"
1


","[— — — — — — — — — — — — —]
[— — —] v Τούρβων {²⁷Τούρβων[ος]}²⁷ [— —]
[— — —ο]υ εὐφρωνεω̣[— — — —]
[— — — — —]․ι ἑαυτῶν [— — —]
[— — — — — — — — — — — — —]",Bizone (Kavarna),NA,NA,NA,NA,NA,NA,NA, v Τούρβων υ εὐφρωνεω ι ἑαυτῶν, v Τούρβωνος ου εὐφρωνεω ι ἑαυτῶν
/text/167857?location=941&patt=&bookid=185&offset=16&count=2&bookid=185&location=941,IGBulg I²,11,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 11,NA,NA,6,"1



5
","θεῷ Διονύσ̣[ῳ]
Αὐρ(ήλιος) Οὐαλέριο[ς]
Τερτιανοῦ
ὑπὲρ ἑατοῦ {²⁶ἑαυτοῦ}²⁶ καὶ
τῶν ἰδίων
πάντων.",Bizone (Kavarna),NA,NA,Balgarevo,NA,NA,NA,NA,θεῷ Διονύσ Αὐρ Οὐαλέριο Τερτιανοῦ ὑπὲρ ἑατοῦ καὶ τῶν ἰδίων πάντων,θεῷ Διονύσῳ Αὐρήλιος Οὐαλέριος Τερτιανοῦ ὑπὲρ ἑαυτοῦ καὶ τῶν ἰδίων πάντων
/text/167858?location=941&patt=&bookid=185&offset=16&count=2&bookid=185&location=941,IGBulg I²,12,"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 12,NA,NA,10,"1



5
9
10


","[ὑ]πὲρ βασιλέως Ροιμηταλκου Φάρσαλος Βιθυος
[καθεσταμένο]ς̣ ὑπ’ αὐτοῦ ἐπὶ τῶν τόπων
[— — — — στρατηγὸς — — — — — —]οπύργου
[— — — — — — — — — — Ροιμητ]α̣λκα[ς — —]
{²versus 3 vel 4 omnino mutili sunt}²
[— — — — — — — — —]κρατος ν̣ετ[— — — —]
[— — — — — — — — — — — — — —]υσ[— — —]
[— — — — — — — — — —] ὑπ’ αὐ[τοῦ — — —]
[— — — — — — — — — — — — — — — — — —]
{²finis}²",Bizone (Kavarna),NA,NA,Tirizis (Kaliakra),ca. 16 BC-14 AD,ca. 16 BC-14 AD,cf. IGBulg V 5001(2),NA,πὲρ βασιλέως Ροιμηταλκου Φάρσαλος Βιθυος ς ὑπ’ αὐτοῦ ἐπὶ τῶν τόπων οπύργου αλκα κρατος νετ υσ ὑπ’ αὐ,ὑπὲρ βασιλέως Ροιμηταλκου Φάρσαλος Βιθυος καθεσταμένος ὑπ’ αὐτοῦ ἐπὶ τῶν τόπων στρατηγὸς οπύργου Ροιμηταλκας κρατος νετ υσ ὑπ’ αὐτοῦ
/text/167859?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,12(2),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 12(2),NA,NA,5,"1



5","ἐπὶ Φλ(αβίου) Ἑρμογένου̣
τοῦ λαμπροτάτου
ἡγεμόνος καὶ τοῦτος
ὁ πύργος ἀνεν̣[ε]ώ̣θη ἀπὸ θεμε-
λ̣ί̣ω̣ν̣.",Bizone (Kavarna),NA,NA,Tirizis (Kaliakra),337-361 AD,337-361 AD,IGBulg V 5002,NA,ἐπὶ Φλ Ἑρμογένου τοῦ λαμπροτάτου ἡγεμόνος καὶ τοῦτος ὁ πύργος ἀνενώθη ἀπὸ θεμελίων,ἐπὶ Φλαβίου Ἑρμογένου τοῦ λαμπροτάτου ἡγεμόνος καὶ τοῦτος ὁ πύργος ἀνενεώθη ἀπὸ θεμελίων
/text/167860?location=941&patt=&bookid=185&bookid=185&location=941,IGBulg I²,12(3),"Regions
Thrace and the Lower Danube (IG X)
Thrace and Moesia Inferior",IGBulg I² 12(3),NA,NA,10,"left of gable.1



right of gable.1



below gable.5
","κεῖμαι πρόμοιρος
Ἑρμογένης
τυμβευθ-
είς· /
ἀγὼν κέ[κευθέ με]
φιλόθ[ηρον]
ὑπὸ [τύμβ]-
ῳ, /
στήλην δέ μοι στῆσαν γενετῆρες ποθέοντ[ες] /
Βίκτωρ τε καὶ Νωστατ’ παρηγορίης μνήμην ἔχ[οντες].",Bizone (Kavarna),NA,NA,Septemvriytsi,NA,NA,NA,NA,κεῖμαι πρόμοιρος Ἑρμογένης τυμβευθείς ἀγὼν κέ φιλόθ ὑπὸ ῳ στήλην δέ μοι στῆσαν γενετῆρες ποθέοντ Βίκτωρ τε καὶ Νωστατ’ παρηγορίης μνήμην ἔχ,κεῖμαι πρόμοιρος Ἑρμογένης τυμβευθείς ἀγὼν κέκευθέ με φιλόθηρον ὑπὸ τύμβῳ στήλην δέ μοι στῆσαν γενετῆρες ποθέοντες Βίκτωρ τε καὶ Νωστατ’ παρηγορίης μνήμην ἔχοντες
